has_ip_address,length,checkAtSign,calc_domain_age,check_shortening,check_for_iframe,check_for_bar_manipulation,check_for_right_click_disabled,forwarding,label
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,1,0,0,1,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
has_ip_address,length,checkAtSign,calc_domain_age,check_shortening,check_for_iframe,check_for_bar_manipulation,check_for_right_click_disabled,forwarding,label
0,1,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,1,0,0,0,1,,0,0,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,1,0,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,1.0,1,1,0
0,1,0,0,1,1,,0,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,1,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,1,0,0,0,1,,0,0,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,1,0,0,1,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,1,0,0,1,1,,0,0,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,,0,0,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,0.0,0,0,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,1,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,1,1,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,0,0.0,0,0,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,1,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,1,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
0,0,0,0,0,1,1.0,1,1,0
